AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.863798935349 (0.00291132181003),0.937186666667 (0.00109739084499),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.481945369753 (0.0121654493916),0.36467844052 (0.00987957638665),0.242892851191 (0.00586284792807),0.209172110385 (0.00575577473535),0.123605092994 (0.00291349758306),0.0870805741967 (0.00223993572039),0.0780204697855 (0.00188188694397),0.36077461271 (0.00411517519062),0.545775298356 (0.0063831217394),0.726919467618 (0.00413536360841),0.782403040505 (0.00356400894077),0.924717369153 (0.0047389964427),0.977125363228 (0.00390143996061),0.992218204516 (0.00118659469476),0.412590478404 (0.00595714170272),0.437155419314 (0.00826535020401),0.364079551036 (0.00668949265462),0.330063077997 (0.00742904156984),0.218049175887 (0.00454234897715),0.159903173399 (0.00380434731422),0.14465990655 (0.00323764759398),0.14457821846 (0.000963782209607),4.09669418335 (0.0410688021091)
0.863943982047 (0.00303707088458),0.93726 (0.00122263831301),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482211858761 (0.0127970230018),0.364078640453 (0.0104879820292),0.242892851191 (0.00603278825622),0.209678709505 (0.00534620321032),0.123725084994 (0.00277045502054),0.087178347629 (0.00204504908724),0.0780198540948 (0.00190107813979),0.360961057238 (0.00401974273024),0.54487934563 (0.00853462881336),0.726898260579 (0.00208613002082),0.784337791442 (0.00312106097531),0.925640479731 (0.00477225108402),0.978271267164 (0.00197854193623),0.992211916712 (0.000801754840353),0.412810127119 (0.0063159641655),0.436436857581 (0.00933500576377),0.364076892859 (0.00688142562921),0.330866023942 (0.00679084426664),0.218261557707 (0.0042892291014),0.160083361622 (0.00344359580232),0.144658781535 (0.00327295522978),0.163669776917 (0.000571449464992),2.48071379662 (0.0491313361834)
0.864571510959 (0.00295441960691),0.9374 (0.001056619347),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.0132616775854),0.364611796068 (0.0102865878742),0.243726045659 (0.00597636864961),0.209652046394 (0.0048616146324),0.123778414772 (0.0030006590923),0.0871961246167 (0.00210902813523),0.0779969412964 (0.001868832932),0.361277510711 (0.00597164771731),0.545682073142 (0.00814219067538),0.729397747557 (0.00210585403074),0.78427864643 (0.00194072159129),0.925998423874 (0.00458609118383),0.978454940285 (0.00259544077067),0.99192313616 (0.00137746383133),0.413163577522 (0.00762915062697),0.437077644344 (0.00905564599757),0.365326495677 (0.00678663248531),0.330827539543 (0.00601212554137),0.218354497468 (0.00469388852449),0.160115795502 (0.00356205416976),0.144616325097 (0.00321358300198),0.147143936157 (0.00149014758725),4.79737200737 (0.0474656263353)
0.863288154327 (0.00301126550663),0.93712 (0.00099075728612),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.480479680213 (0.0114342107677),0.364545151616 (0.00937059860226),0.242684755251 (0.00674076056315),0.209118784162 (0.00577033103753),0.123683469318 (0.0030892115444),0.0871605706413 (0.00221614234386),0.0779890984667 (0.00182561130197),0.359687009878 (0.00381303769594),0.545594399285 (0.00629406788964),0.726256188213 (0.00476784331027),0.782201204363 (0.00345264926593),0.925288097719 (0.00551204621772),0.978030038174 (0.00383150557341),0.991837235397 (0.0019939889645),0.411341939659 (0.00532555617442),0.437001578996 (0.00771789109902),0.363762588408 (0.00798656355228),0.329978733518 (0.00745074909043),0.218187003203 (0.00485648909069),0.160050162061 (0.0037604875888),0.144601932252 (0.00313409288581),0.162536001205 (0.00100194164254),2.10744380951 (0.0412433924392)
0.86423774796 (0.00318188549034),0.937053333333 (0.00129316150061),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.480879413724 (0.0119281741865),0.363745418194 (0.010269734876),0.243259456757 (0.00567199237447),0.20991867751 (0.0057654008153),0.123871741884 (0.00285619424835),0.0871427936536 (0.00223159618191),0.0779890984667 (0.00189958451391),0.360002050036 (0.00563433676385),0.544365961961 (0.00676552141441),0.728021730218 (0.00183077086856),0.785199180598 (0.00420527766274),0.926722047472 (0.00450127672695),0.977822876242 (0.00291895375003),0.99181390912 (0.00145398175291),0.411694612568 (0.00670947205615),0.436032808119 (0.00874789253092),0.364629661157 (0.00632983142829),0.33124146547 (0.00745299068154),0.218519839583 (0.00443843120404),0.160017415039 (0.00378688722254),0.144601683332 (0.00327067654577),0.148296785355 (0.00177278762367),4.8509086132 (0.0847117126924)
0.862535877744 (0.00298131538228),0.93704 (0.00155540634205),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.479147235177 (0.013179760713),0.363478840387 (0.00984535038327),0.24139310115 (0.00623915244599),0.208185575257 (0.00549001172462),0.123471768549 (0.00271844587478),0.0871180413161 (0.00203759035813),0.0779739290475 (0.00186401549668),0.358715812647 (0.00750246098614),0.543971372977 (0.00563870155416),0.722398822338 (0.00363610963191),0.778735352932 (0.0033330004713),0.923755098265 (0.00514787890695),0.977679906083 (0.00370903889144),0.991724933005 (0.00114337167121),0.410218662302 (0.00857979449249),0.435714687212 (0.00810432876177),0.361827388778 (0.00722569922719),0.328508398458 (0.00702809329036),0.217814959834 (0.00420135171905),0.15997375545 (0.00343264766038),0.1445746582 (0.00320445488608),0.14436621666 (0.00143817084032),1.10399699211 (0.0236743372232)
0.863923834829 (0.00287801682232),0.93724 (0.00121498056683),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.012489495702),0.365678107298 (0.0110710055473),0.243226128979 (0.00607315898944),0.209038794827 (0.00465422159938),0.123765082328 (0.00258374381372),0.087178347629 (0.00217388647134),0.0779734128073 (0.00193236246593),0.36129943454 (0.00624272448226),0.547268150053 (0.00959823056522),0.727891999541 (0.00153535188658),0.782004847805 (0.00317703246172),0.925972448284 (0.00522294043953),0.978237543362 (0.00255896789284),0.991604112515 (0.00133037051092),0.413177892191 (0.00737555539762),0.438352776223 (0.010147556288),0.364575974202 (0.00692727944194),0.329861654035 (0.00570790977696),0.218333023678 (0.00395962139936),0.160082910681 (0.0036806638904),0.144572488358 (0.00333109505638),0.154408836365 (0.0149964576756),2.45621500015 (0.0478201930749)
0.864414710394 (0.00308906358339),0.937026666667 (0.0010912581933),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483011325783 (0.0139493695705),0.365011662779 (0.0100467478221),0.24369271788 (0.00615942074408),0.209598720171 (0.00539583912895),0.123965068995 (0.00291752150028),0.0871516821475 (0.00214007910235),0.0779649727392 (0.00193638821725),0.361585518075 (0.00718906358508),0.546271431818 (0.00678382145944),0.72928998002 (0.00346921893037),0.784035806881 (0.00343804709282),0.927415045775 (0.00549731341628),0.977950337681 (0.0035226255041),0.991504058018 (0.00194210141385),0.413511586762 (0.00872456361538),0.437554028944 (0.00851271567627),0.365275495578 (0.00708706438535),0.330739506198 (0.00686889903206),0.218684337155 (0.00455386112952),0.160034110379 (0.00362101954726),0.144556915144 (0.00333912291103),0.147757434845 (0.00104576720991),4.80062699318 (0.0599570755265)
0.864063084305 (0.00348025090138),0.937086666667 (0.00115366083982),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.481545636243 (0.0132804068882),0.363745418194 (0.0105386774766),0.242859523413 (0.00629939100318),0.209438741501 (0.00545454540607),0.123791747217 (0.00284265726305),0.0872316785921 (0.00208328548313),0.077957727148 (0.00191788859427),0.360496326861 (0.00686195078793),0.544373786301 (0.00819918378883),0.726780866309 (0.00284802512564),0.783436166658 (0.00454067138932),0.926130701324 (0.00547867850474),0.978860192406 (0.002042963997),0.991409361012 (0.00165045185153),0.412262092391 (0.00819643264994),0.436035314711 (0.00931948519873),0.364024711022 (0.00728796202863),0.33048699531 (0.00698782137879),0.21837892548 (0.00442265783331),0.160181162186 (0.0035135334824),0.144543457465 (0.00330478401326),0.161742019653 (0.00196394990103),2.42318096161 (0.0609042264757)
0.863614104125 (0.00306244952583),0.93708 (0.0013200336696),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483677548301 (0.0126897465165),0.364011996001 (0.0101566669377),0.242359606732 (0.0059958517169),0.209145447274 (0.00588065186775),0.123698420105 (0.00302549564874),0.0871872361228 (0.00216291959765),0.077957727148 (0.00187441988895),0.362089846845 (0.00607888146156),0.544762883951 (0.0061000227159),0.725304673895 (0.00222516894002),0.782289373143 (0.00354774475559),0.925399946532 (0.00559912631787),0.978341993336 (0.0030161208732),0.991422467843 (0.00152043802204),0.414085782758 (0.00740317290805),0.436351736757 (0.00850526732007),0.363277853875 (0.00683108561252),0.330019812455 (0.00762285640114),0.218213394093 (0.00474624253116),0.160099292786 (0.00366111045356),0.144543597993 (0.003224325804),0.162101364136 (0.000742232635544),2.10246014595 (0.0370321048785)
