AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.863487652565 (0.00267562194827),0.937 (0.00112704135781),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483677548301 (0.0130824119479),0.36361212929 (0.0107964011996),0.242361126421 (0.00644022547292),0.209006427331 (0.00513876374684),0.124083398217 (0.00300125406511),0.0871694591351 (0.00211717878224),0.0779239892965 (0.00181278092085),0.362060181531 (0.0046625823094),0.544142050567 (0.00662327925892),0.725472063789 (0.0032430851027),0.7818585818 (0.00199407390179),0.928292488602 (0.00447190099755),0.978152751602 (0.00216356003676),0.991042458092 (0.00116471658255),0.414066219309 (0.00680712664592),0.435865118976 (0.00924590679207),0.363300778417 (0.00751074698685),0.329808377081 (0.00645547643587),0.218892864513 (0.00469307400501),0.160066785546 (0.0035759996469),0.144481544058 (0.00310927165272),0.14500875473 (0.000518401853941),1.1000497818 (0.00553849755686)
0.864414710394 (0.00308906358339),0.937026666667 (0.0010912581933),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483011325783 (0.0139493695705),0.365011662779 (0.0100467478221),0.24369271788 (0.00615942074408),0.209598720171 (0.00539583912895),0.123965068995 (0.00291752150028),0.0871516821475 (0.00214007910235),0.0779649727392 (0.00193638821725),0.361585518075 (0.00718906358508),0.546271431818 (0.00678382145944),0.72928998002 (0.00346921893037),0.784035806881 (0.00343804709282),0.927415045775 (0.00549731341628),0.977950337681 (0.0035226255041),0.991504058018 (0.00194210141385),0.413511586762 (0.00872456361538),0.437554028944 (0.00851271567627),0.365275495578 (0.00708706438535),0.330739506198 (0.00686889903206),0.218684337155 (0.00455386112952),0.160034110379 (0.00362101954726),0.144556915144 (0.00333912291103),0.147757434845 (0.00104576720991),4.80062699318 (0.0599570755265)
0.86423774796 (0.00318188549034),0.937053333333 (0.00129316150061),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.480879413724 (0.0119281741865),0.363745418194 (0.010269734876),0.243259456757 (0.00567199237447),0.20991867751 (0.0057654008153),0.123871741884 (0.00285619424835),0.0871427936536 (0.00223159618191),0.0779890984667 (0.00189958451391),0.360002050036 (0.00563433676385),0.544365961961 (0.00676552141441),0.728021730218 (0.00183077086856),0.785199180598 (0.00420527766274),0.926722047472 (0.00450127672695),0.977822876242 (0.00291895375003),0.99181390912 (0.00145398175291),0.411694612568 (0.00670947205615),0.436032808119 (0.00874789253092),0.364629661157 (0.00632983142829),0.33124146547 (0.00745299068154),0.218519839583 (0.00443843120404),0.160017415039 (0.00378688722254),0.144601683332 (0.00327067654577),0.148296785355 (0.00177278762367),4.8509086132 (0.0847117126924)
0.863716753237 (0.00325773894583),0.937173333333 (0.00120892973787),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.479680213191 (0.0103296721883),0.365078307231 (0.0118237099813),0.242092984503 (0.0054919082829),0.209460052087 (0.00567398581727),0.123858409439 (0.00303206873829),0.087062797209 (0.00218284470811),0.0779498843183 (0.00189618148662),0.359121145301 (0.00492132930813),0.546313300579 (0.00840255954547),0.72454131042 (0.00179827555785),0.783515985775 (0.00479407883491),0.926593059141 (0.00496727745864),0.976944335279 (0.00434999017813),0.991315811342 (0.00129775825299),0.410678924293 (0.00531700178393),0.437615542163 (0.0106105983164),0.362882511137 (0.00606568793704),0.330520550353 (0.00732791633921),0.218495516297 (0.00475184289007),0.159870773611 (0.0037010369617),0.144528981254 (0.00326435885736),0.14525103569 (0.00080353828564),4.09261059761 (0.0484107282808)
0.863349100242 (0.00316370149145),0.93696 (0.000868817843074),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.48474350433 (0.0133284471021),0.363812062646 (0.0103447131663),0.242492917847 (0.0059668824918),0.209545393947 (0.00545154686277),0.12383174455 (0.00288196755289),0.0872220131154 (0.00210513209349),0.0779106701698 (0.00187661723777),0.362842419528 (0.00367318865484),0.544473233963 (0.00752177167619),0.725715527917 (0.00420229674063),0.783832761303 (0.00397236221143),0.926422995629 (0.00539437536613),0.978758184093 (0.00329583838774),0.99082456828 (0.00238041833222),0.414968419672 (0.00647824383754),0.436115256903 (0.00899296354406),0.363479133136 (0.00684191029344),0.330655079679 (0.006969491843),0.218449291538 (0.00449112944267),0.160163499125 (0.00355553235065),0.144456355555 (0.00322947915842),0.145851421356 (0.000504424017327),1.30170817375 (0.0534730424088)
0.864621124747 (0.00292358893708),0.937153333333 (0.00109475517304),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483488298638 (0.0133574958956),0.365678107298 (0.0100732377991),0.24369271788 (0.0064164413601),0.209465404613 (0.00528266157562),0.12383174455 (0.00277833556715),0.0872227900982 (0.00215233735955),0.0779498843183 (0.00188054637053),0.362178694449 (0.00628155328246),0.547275753627 (0.00733812048128),0.729270033407 (0.00354739137666),0.783543646406 (0.00238420153429),0.926437438129 (0.00474999788489),0.97874393196 (0.00307650780232),0.991321519333 (0.00174525334422),0.414078108915 (0.00796513241541),0.438355102923 (0.00864669285808),0.36527301221 (0.00746533122545),0.330529721914 (0.00667783198006),0.218449688975 (0.00430276601499),0.160164624657 (0.00364220320224),0.14452904008 (0.00323556640056),0.14690656662 (0.000891414264495),4.83447384834 (0.0377507727147)
0.864063084305 (0.00348025090138),0.937086666667 (0.00115366083982),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.481545636243 (0.0132804068882),0.363745418194 (0.0105386774766),0.242859523413 (0.00629939100318),0.209438741501 (0.00545454540607),0.123791747217 (0.00284265726305),0.0872316785921 (0.00208328548313),0.077957727148 (0.00191788859427),0.360496326861 (0.00686195078793),0.544373786301 (0.00819918378883),0.726780866309 (0.00284802512564),0.783436166658 (0.00454067138932),0.926130701324 (0.00547867850474),0.978860192406 (0.002042963997),0.991409361012 (0.00165045185153),0.412262092391 (0.00819643264994),0.436035314711 (0.00931948519873),0.364024711022 (0.00728796202863),0.33048699531 (0.00698782137879),0.21837892548 (0.00442265783331),0.160181162186 (0.0035135334824),0.144543457465 (0.00330478401326),0.161742019653 (0.00196394990103),2.42318096161 (0.0609042264757)
0.864571510959 (0.00295441960691),0.9374 (0.001056619347),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.0132616775854),0.364611796068 (0.0102865878742),0.243726045659 (0.00597636864961),0.209652046394 (0.0048616146324),0.123778414772 (0.0030006590923),0.0871961246167 (0.00210902813523),0.0779969412964 (0.001868832932),0.361277510711 (0.00597164771731),0.545682073142 (0.00814219067538),0.729397747557 (0.00210585403074),0.78427864643 (0.00194072159129),0.925998423874 (0.00458609118383),0.978454940285 (0.00259544077067),0.99192313616 (0.00137746383133),0.413163577522 (0.00762915062697),0.437077644344 (0.00905564599757),0.365326495677 (0.00678663248531),0.330827539543 (0.00601212554137),0.218354497468 (0.00469388852449),0.160115795502 (0.00356205416976),0.144616325097 (0.00321358300198),0.147143936157 (0.00149014758725),4.79737200737 (0.0474656263353)
0.86428640969 (0.00275048987876),0.937073333333 (0.00123691372195),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.478614257162 (0.0110086089624),0.365144951683 (0.0106576960586),0.243126145642 (0.00605979306159),0.209625383282 (0.00564578402384),0.123778414772 (0.00283338756765),0.0871516821475 (0.00218898899712),0.0779185129995 (0.00183897214988),0.358306846518 (0.00458708465972),0.546470539242 (0.00857937718741),0.727594902125 (0.00207814874396),0.784114736339 (0.00414772407089),0.92603170663 (0.00532789525849),0.977933302463 (0.00225485921025),0.990933860065 (0.00115679201097),0.409755722775 (0.00553354290631),0.437713795352 (0.00951942679037),0.364426373997 (0.00691744151284),0.330779720265 (0.00726591877782),0.218355427578 (0.00440524033135),0.160033875857 (0.00370770570008),0.1444709959 (0.00315836691111),0.16293182373 (0.000889147888431),2.43487195969 (0.0589909969206)
0.863923834829 (0.00287801682232),0.93724 (0.00121498056683),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482611592272 (0.012489495702),0.365678107298 (0.0110710055473),0.243226128979 (0.00607315898944),0.209038794827 (0.00465422159938),0.123765082328 (0.00258374381372),0.087178347629 (0.00217388647134),0.0779734128073 (0.00193236246593),0.36129943454 (0.00624272448226),0.547268150053 (0.00959823056522),0.727891999541 (0.00153535188658),0.782004847805 (0.00317703246172),0.925972448284 (0.00522294043953),0.978237543362 (0.00255896789284),0.991604112515 (0.00133037051092),0.413177892191 (0.00737555539762),0.438352776223 (0.010147556288),0.364575974202 (0.00692727944194),0.329861654035 (0.00570790977696),0.218333023678 (0.00395962139936),0.160082910681 (0.0036806638904),0.144572488358 (0.00333109505638),0.154408836365 (0.0149964576756),2.45621500015 (0.0478201930749)
