AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.810712441033 (0.00363834840843),0.9342 (0.00191728975379),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.419059346102 (0.0107111122662),0.29989655789 (0.0086215162104),0.221769478709 (0.00595637665651),0.176467225995 (0.00485381058065),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.341789156888 (0.00527787306651),0.539404635393 (0.007668490834),0.670355629278 (0.0039033970517),0.747341212221 (0.0067941438299),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.376470354838 (0.00700083590383),0.385398183574 (0.00765367699705),0.333235415035 (0.00677535899129),0.285476499071 (0.0063126818166),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.120433807373 (0.000356109032411),0.89077372551 (0.053297896572)
0.807755290275 (0.00210943180132),0.933913333333 (0.00164338404249),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.423999173335 (0.013172111545),0.299635656164 (0.00863689758353),0.220153409437 (0.00684917830953),0.175829694814 (0.00577051605216),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.34543093557 (0.00680427767615),0.535914445846 (0.00924279712751),0.663483203836 (0.0078506968736),0.743096053658 (0.0067202546813),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.380666246646 (0.00887440361981),0.38430987126 (0.00846600288362),0.330569027741 (0.00842699439692),0.284330353686 (0.00775185343333),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.120514583588 (0.00123883658681),0.91477394104 (0.0129283421237)
0.830236432945 (0.00232858039213),0.934386666667 (0.0012221292894),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=5, random_state=None)",0.437602558928 (0.010238317573),0.303187859871 (0.00356729002341),0.148719248133 (0.00318638719484),0.148719248133 (0.00318638719484),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.379328920799 (0.0118890825505),0.549988580765 (0.0103252371343),0.828452020547 (0.0148178341656),0.828452020547 (0.0148178341656),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.406356709661 (0.0108293682803),0.390874679894 (0.00510549470015),0.252121463588 (0.00395530519284),0.252121463588 (0.00395530519284),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.0302392482758 (0.00612208527463),0.905645036697 (0.0135561805116)
0.820662080607 (0.00454435724716),0.93316 (0.00160518603975),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=5, random_state=None)",0.416557820299 (0.0150688738585),0.318649384849 (0.0125171957642),0.173565235242 (0.00577421755652),0.173565235242 (0.00577421755652),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.346250353039 (0.00503300821008),0.548633539261 (0.0104808828127),0.760516570875 (0.00581381687484),0.760516570875 (0.00581381687484),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.378058160691 (0.00778352854154),0.40292952788 (0.0096082104286),0.282584795712 (0.0077887335539),0.282584795712 (0.0077887335539),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.0167437553406 (0.00132500241565),0.820878601074 (0.0201813281376)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),1.54120960236 (0.0322002207183),143.736479378 (0.953587845265)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),1.64932937622 (0.060923284767),144.133327866 (0.656888597278)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),2.57657780647 (0.424957475683),243.614549208 (50.0693893786)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),2.23477516174 (0.308114994001),192.519218636 (49.7575947631)
0.67756107129 (0.00379482280211),0.914666666667 (0.00145663234132),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.304109109785 (0.0204858010872),0.24659093303 (0.00654818463816),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.254393094039 (0.0173422504645),0.38530186809 (0.0058533117976),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.275878983441 (0.00539253170514),0.300692458271 (0.00615809094742),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00952215194702 (0.000401631998538),0.582517814636 (0.0587916231711)
0.666482962136 (0.00572910811637),0.912966666667 (0.0013489090242),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=50,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.308071263476 (0.00703762269677),0.24076709587 (0.00693472034382),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.233879603639 (0.00696014020325),0.372553986182 (0.0087180423002),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.265862410633 (0.00653816927222),0.292479560871 (0.00743299946372),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00917778015137 (0.000645827947815),0.768987989426 (0.045390161464)
