AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.837022456661 (0.00326185016958),0.93316 (0.00160518603975),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.4412912522 (0.0161580233112),0.328928132749 (0.00770955976008),0.209910398479 (0.0183437443319),0.186626883627 (0.0097378915333),0.09892652973 (0.0119355240958),0.0749201775244 (0.0064220114256),0.06684 (0.00160518603975),0.339835997356 (0.0130481414342),0.536047020857 (0.0213096508748),0.710899582037 (0.0348142745756),0.772074393913 (0.0280769536066),0.931148084447 (0.0234808807341),0.983328849266 (0.0141337185097),1.0 (0.0),0.383869368093 (0.0129323078272),0.407635819332 (0.011579721347),0.323174474648 (0.0195290338626),0.300292007661 (0.0115410004485),0.178536026427 (0.0189031709674),0.139143045935 (0.0109679270343),0.125300392819 (0.00282143439235),0.140517568588 (0.000184163782784),0.404196596146 (0.00457514941818)
0.840552170094 (0.00288327391635),0.93316 (0.00160518603975),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.448250967115 (0.00920283418523),0.336435852946 (0.0045731600046),0.215293978736 (0.0121688497367),0.190502013554 (0.00455573084879),0.0991270191375 (0.0101296685531),0.0742366457918 (0.00476291636776),0.06684 (0.00160518603975),0.34125344833 (0.00746221442158),0.537743591144 (0.0349363399289),0.709180809611 (0.029815497893),0.761076552584 (0.017258151301),0.93904237531 (0.0198882631719),0.983165144198 (0.0137993659743),1.0 (0.0),0.387380060327 (0.00453488459241),0.413540580336 (0.0115865445039),0.329849843172 (0.0127172249271),0.304695122644 (0.00646691247478),0.179087403566 (0.0160509019597),0.137994720483 (0.00811924582604),0.125300392819 (0.00282143439235),0.154980230331 (0.000664000689216),0.659144020081 (0.0275717736631)
0.838238020058 (0.00487016398731),0.93316 (0.00160518603975),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=1, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.453647484046 (0.019928293741),0.337383839504 (0.0137655148818),0.219040565142 (0.0147461672063),0.198997368269 (0.00775290357582),0.0968142351558 (0.00422078419342),0.0758665161781 (0.00681965923502),0.06684 (0.00160518603975),0.347337449241 (0.00978548973934),0.54406624395 (0.0114890406446),0.724608556128 (0.0263922539216),0.754316828859 (0.00759191584711),0.933953337798 (0.0210680081444),0.980955714724 (0.0156899889788),1.0 (0.0),0.393342995299 (0.0126730633829),0.41622038357 (0.0093788872522),0.335972143528 (0.0168414549076),0.31484764173 (0.00999860670188),0.175381362393 (0.00659799447638),0.140736851488 (0.0116280767262),0.125300392819 (0.00282143439235),0.139621782303 (0.00146410170464),0.364126205444 (0.0519348427878)
0.829900294837 (0.00659582390861),0.93316 (0.00160518603975),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.459731659847 (0.0139630518316),0.319671083704 (0.0297343424151),0.216539633062 (0.00895186626133),0.197341853429 (0.00708158711022),0.0948038175952 (0.00239995147112),0.0759052287864 (0.00804219637054),0.06684 (0.00160518603975),0.347760512493 (0.00697455255155),0.555469406931 (0.0250333922968),0.69133524409 (0.00983989989213),0.756366683201 (0.0115084284659),0.935883857049 (0.0115378522212),0.975490078822 (0.0204567856218),1.0 (0.0),0.395901389064 (0.00815383058195),0.404100726245 (0.0185484824932),0.329696655521 (0.0110038490467),0.312915022183 (0.00858327597615),0.172151808343 (0.00388872808761),0.14070073012 (0.0136883854599),0.125300392819 (0.00282143439235),0.139508581161 (0.00132202213016),0.343587112427 (0.0671273546916)
0.836901182381 (0.00455711440843),0.93316 (0.00160518603975),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.432221782701 (0.0378899784366),0.338097596443 (0.0173701161211),0.227550877374 (0.0099137938059),0.199134580009 (0.00696558017176),0.0960628324691 (0.00427698790194),0.0784121343027 (0.0067325270056),0.06684 (0.00160518603975),0.331709055202 (0.0225154783006),0.546012046217 (0.00890254784247),0.702614775336 (0.0029359936181),0.754497058779 (0.00677900682541),0.939752250825 (0.0102395703836),0.974778954253 (0.0129855867599),1.0 (0.0),0.375226456141 (0.0281995723067),0.417216753233 (0.0117848068533),0.343654967112 (0.011404504671),0.315064208125 (0.00925090070446),0.174267074339 (0.00690512552623),0.145051987942 (0.0115287498779),0.125300392819 (0.00282143439235),0.15401058197 (0.00151394142232),0.538519382477 (0.0488772204809)
0.847912320304 (0.00352342004075),0.936506666667 (0.00134286592365),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.466888740839 (0.0145560091587),0.356147950683 (0.00955226810645),0.236793867689 (0.0061948442911),0.202479669377 (0.00484168629516),0.120858609426 (0.00343035273122),0.0862987271594 (0.0020320084332),0.06684 (0.00160518603975),0.349442864932 (0.00389185171881),0.532995509118 (0.00465152212179),0.708630586029 (0.0042194043511),0.757437608899 (0.0029255129043),0.904060811631 (0.00540792603529),0.969967129845 (0.00329221837461),1.0 (0.0),0.39966085803 (0.00745300913272),0.426925579965 (0.00771522002674),0.354933174299 (0.00723793582243),0.319508793959 (0.00605970075121),0.213201126465 (0.00545979977129),0.15848979714 (0.00344220906893),0.125300392819 (0.00282143439235),0.156624746323 (0.000733080619867),1.65110607147 (0.0450868072346)
0.846026528337 (0.00272808966681),0.93624 (0.00143114561725),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.467688207861 (0.0115700430892),0.353682105965 (0.00824507963703),0.236093984336 (0.00539395452222),0.203332888948 (0.00494915043512),0.12028932906 (0.00294080955796),0.0859620758773 (0.00198782819968),0.06684 (0.00160518603975),0.350122400542 (0.00524223445395),0.529342969526 (0.00328416180948),0.706597959872 (0.00476636485623),0.760632018941 (0.00499077734023),0.899959463276 (0.00353991473213),0.967980738135 (0.00119724997048),1.0 (0.0),0.400398604159 (0.00638026963403),0.423981521914 (0.00604659563601),0.353891805767 (0.00608748905425),0.320855443892 (0.00627547727479),0.212201132355 (0.00459733583603),0.157895383718 (0.00335767571204),0.125300392819 (0.00282143439235),0.157081031799 (0.000455065728992),1.58434166908 (0.0571574592291)
0.845467891194 (0.00194500583633),0.93654 (0.0014906225396),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.469020652898 (0.0100949750432),0.352882372542 (0.00919355321803),0.234794200967 (0.00531052819951),0.202106385815 (0.00389409244996),0.120587129721 (0.00313454301657),0.0860283765422 (0.00223589710566),0.06684 (0.00160518603975),0.351168404581 (0.00646610208992),0.528117595019 (0.00435699326106),0.702721602275 (0.00606649557104),0.756134519875 (0.00584378997805),0.902111387508 (0.0018756771348),0.967235010842 (0.00393827024457),1.0 (0.0),0.401570900032 (0.00640367681349),0.423013718091 (0.00728355161397),0.351945271399 (0.00605416556177),0.318928066973 (0.0046324943337),0.212724469357 (0.00493035260817),0.157996928125 (0.00380605095502),0.125300392819 (0.00282143439235),0.15674123764 (0.000114927113417),1.84914178848 (0.0487337608345)
0.844982375469 (0.00260443984603),0.93638 (0.00124554316576),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.466089273817 (0.00935182792558),0.353948683772 (0.0085901570379),0.234660889852 (0.00681583631057),0.202426343154 (0.00483080839983),0.120560561689 (0.0028086682747),0.0860059535982 (0.00181914684257),0.06684 (0.00160518603975),0.348931240938 (0.00237008406726),0.529738478568 (0.00441485878846),0.702247256181 (0.00973992392398),0.757265778072 (0.00700185529445),0.901983745029 (0.00502744573629),0.966963011666 (0.00375726804341),1.0 (0.0),0.399033186613 (0.0030627524376),0.424300010347 (0.00662028041475),0.351736132345 (0.00844119193052),0.31942717769 (0.00617486646533),0.212679568994 (0.00437631899958),0.157954982359 (0.00302819447554),0.125300392819 (0.00282143439235),0.156141805649 (0.000666802838518),1.90809378624 (0.0390343436604)
0.840133856574 (0.00449856391756),0.93316 (0.00160518603975),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.458054123558 (0.0157138274702),0.344520936697 (0.0121306282343),0.229810006923 (0.00717806324463),0.199819207192 (0.00609751912424),0.0988218095056 (0.00357657721167),0.0829857974384 (0.00265254001501),0.06684 (0.00160518603975),0.346307005601 (0.00545808668464),0.533080746618 (0.00474452806377),0.699555773127 (0.0189547812441),0.756602817052 (0.00767421810121),0.936240177517 (0.00868105120329),0.966951270324 (0.00396789527657),1.0 (0.0),0.394380632501 (0.00929163970665),0.418395484203 (0.00864665704194),0.345926680838 (0.0097534815762),0.316109750593 (0.00803236510737),0.178744848049 (0.00571687517354),0.152842894473 (0.00452483515326),0.125300392819 (0.00282143439235),0.130950880051 (0.000649024410063),1.01427440643 (0.0150006812911)
0.811202737261 (0.00204570809059),0.9337 (0.000988152035086),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.422057768002 (0.0116926979393),0.304243219551 (0.0128719884266),0.222566226566 (0.0052816371671),0.176851364718 (0.00504110215629),0.0866525379372 (0.0252941404649),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.343721882387 (0.00619393799765),0.52407786407 (0.0209524270826),0.67151918601 (0.00380298964781),0.747236888892 (0.00742060142071),0.946115421257 (0.0659958495732),1.0 (0.0),1.0 (0.0),0.378819493862 (0.00717843131013),0.384450374249 (0.00710552902968),0.334277949171 (0.00571497243855),0.285961940976 (0.00642608733939),0.157140416211 (0.0408053369325),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.120551013947 (0.000644972196398),0.91313457489 (0.0172742549291)
