AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.832346154761 (0.00715429171288),0.93316 (0.00160518603975),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.446973140794 (0.0139049576807),0.345615355655 (0.0106287737978),0.207315133108 (0.00829538594225),0.197948645024 (0.0066509665891),0.0983409088186 (0.00481646860654),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.347535915793 (0.00961835548905),0.526238510557 (0.0112773073014),0.736237478596 (0.0298529870833),0.767677250837 (0.0121269066044),0.924886184876 (0.0235224010468),1.0 (0.0),1.0 (0.0),0.390993636437 (0.0107567920771),0.417161457091 (0.0103320118644),0.323253825039 (0.00868310104247),0.314694597565 (0.00892321505742),0.177697469002 (0.00748396169649),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.140571832657 (0.000660361982936),0.351047182083 (0.0728358243824)
0.82601113625 (0.00298229201265),0.935586666667 (0.00141477913471),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.439967239791 (0.0119351002306),0.327225288517 (0.0109515188075),0.219552705397 (0.00751643403888),0.195225376432 (0.00628250024385),0.108400052791 (0.00297017698274),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.3315746867 (0.00491813139462),0.515819243788 (0.0121334993077),0.692228114176 (0.00543932241925),0.736403813033 (0.004252968242),0.907508854702 (0.0040080941342),1.0 (0.0),1.0 (0.0),0.378128769682 (0.00725447184703),0.400224788369 (0.00795733622366),0.33330676924 (0.00892087828505),0.308592574311 (0.00819842515854),0.193655171527 (0.00479111997513),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125992012024 (0.00725928237903),1.66695146561 (0.0140636262448)
0.824402905889 (0.00324133846655),0.934873333333 (0.00131848397791),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.443374827591 (0.0136971737985),0.326252556328 (0.012235929557),0.217801984769 (0.0066305698418),0.193696669852 (0.00705380520673),0.108091941662 (0.00321739901499),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.33939439558 (0.0119996355185),0.507542500921 (0.0110150854269),0.69245908673 (0.00642086629764),0.73356334257 (0.00919240209831),0.90745833811 (0.00464091372206),1.0 (0.0),1.0 (0.0),0.384433179895 (0.0121480091622),0.396941469029 (0.00815523166668),0.331327055127 (0.00798759441516),0.306428311796 (0.00943059369462),0.193158721991 (0.00516937277414),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.12222776413 (0.00848667074305),1.66095061302 (0.0104561796059)
0.826354613326 (0.00442659455165),0.935293333333 (0.00101596150408),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.440946145867 (0.0131780022221),0.329441262818 (0.00875686273606),0.218826012116 (0.00727177601766),0.194783218124 (0.00629299004352),0.108727355825 (0.00333128886322),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.33467286968 (0.00573463929946),0.510632679449 (0.0138787547192),0.695777410802 (0.00575295781185),0.737696474319 (0.0062786367941),0.907452787364 (0.00605540308306),1.0 (0.0),1.0 (0.0),0.380477842865 (0.00777903303367),0.400289861624 (0.00582074607525),0.332878094433 (0.00863568309762),0.30813952069 (0.00801413989849),0.19417097316 (0.00534097970016),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.126083612442 (0.00719742265227),1.68181600571 (0.0571400053631)
0.824809392481 (0.00205044645767),0.93524 (0.0014924104291),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.435662626031 (0.0101600797183),0.328181171144 (0.00934837108661),0.219305832507 (0.00647947374796),0.19497197398 (0.00551245108385),0.108291782087 (0.00301637734292),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.340509982859 (0.00989121064006),0.507451176549 (0.00953634014082),0.690303601578 (0.00741749419736),0.735503668557 (0.00441334645576),0.906895248562 (0.00260489236034),1.0 (0.0),1.0 (0.0),0.382134627566 (0.0076820026826),0.398406623352 (0.0054979255612),0.332811786123 (0.00773372742026),0.308192789723 (0.00693705005248),0.193463413713 (0.00477086078753),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.130976772308 (0.0012273136498),1.66749663353 (0.00758190439295)
0.833369475443 (0.00399275985035),0.935633333333 (0.00140459563181),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.442309614575 (0.0126658602869),0.335476511973 (0.00574875241312),0.229051588825 (0.00548440049495),0.191631866175 (0.00629025624981),0.115447566481 (0.00354264479384),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.339909999459 (0.00542441640075),0.509556671396 (0.00655136611477),0.690026570009 (0.00601244160239),0.753406841467 (0.00407510573847),0.902738330617 (0.00389392409556),1.0 (0.0),1.0 (0.0),0.384370556204 (0.00774396489697),0.404546581154 (0.00488588574852),0.343895952806 (0.00630097957822),0.305497766243 (0.00810706417558),0.204697485977 (0.00561208778762),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.251483011246 (0.00131604377229),3.24715418816 (0.0538868176753)
0.817035594922 (0.00397554423903),0.933186666667 (0.000773045923604),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.419405065788 (0.0109566322653),0.321369254358 (0.00901552005229),0.217755612569 (0.00681438609184),0.189418441037 (0.00702966679426),0.115323864118 (0.00359382292021),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.329550536224 (0.0100642091352),0.488020807258 (0.00385625049758),0.670043439838 (0.00188262936153),0.728462302708 (0.0171532467238),0.885142515377 (0.00397286439855),1.0 (0.0),1.0 (0.0),0.369043140532 (0.00979448158581),0.387474740753 (0.00708887901713),0.32863437081 (0.00786575992672),0.300531570801 (0.00841853045476),0.204044557213 (0.00570807326764),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.209362840652 (0.0478560476602),2.01931738853 (0.0514493859611)
0.817012817086 (0.00364528864337),0.933193333333 (0.0014679388422),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.416973244828 (0.00884908452482),0.319078804071 (0.00759113769597),0.217647965489 (0.00705660376809),0.192332542811 (0.00542356467282),0.115638938881 (0.0031759241666),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.326397612533 (0.01242051085),0.486028784835 (0.00397239271724),0.671184846347 (0.00321665836119),0.71946911067 (0.00528052655638),0.884764489202 (0.00570689367252),1.0 (0.0),1.0 (0.0),0.365966049604 (0.00799539639687),0.385196992336 (0.00599843543974),0.328654406365 (0.00832087246535),0.303495912996 (0.00708376908036),0.204525386628 (0.004934239027),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.21099562645 (0.048262086783),2.01055498123 (0.0576397681724)
0.815557282087 (0.00394035385851),0.933193333333 (0.00121058296333),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.4207922243 (0.00963067035906),0.320165470265 (0.00818743764732),0.217810320385 (0.00576835464189),0.19116723739 (0.00476044797732),0.115291760058 (0.00332123978015),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.325905865543 (0.0144796995518),0.490479447785 (0.00453482999182),0.670371802427 (0.00174441012002),0.715429411333 (0.00336856950544),0.884382513009 (0.00620550457592),1.0 (0.0),1.0 (0.0),0.367119475619 (0.0103651087058),0.387373954707 (0.00650947012505),0.328744153903 (0.00641493143768),0.301685812308 (0.00603679876021),0.203976864035 (0.0052915025561),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.210346364975 (0.0484160200823),1.97202057838 (0.0111255683534)
0.80018975156 (0.00495367013828),0.93232 (0.00112676528168),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.402307054212 (0.0151627170514),0.315460682736 (0.00968950004205),0.216583207475 (0.00511328709545),0.180631545421 (0.00517132151954),0.104846653631 (0.0200903887427),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.337679031056 (0.0117495017283),0.473200292539 (0.00603622117477),0.648231703878 (0.00364554516586),0.72375057161 (0.00287380949392),0.882633047768 (0.0593204679924),1.0 (0.0),1.0 (0.0),0.366815058131 (0.00698456584357),0.378513390068 (0.00864626370747),0.324649424902 (0.0057965618266),0.289079788912 (0.00685523326114),0.186324074941 (0.0323853654571),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.128900575638 (0.00108775136217),1.00170078278 (0.0227462799473)
